id,first_name,last_name,race,gender,date of birth,number of prior felony convictions,number of prior misdemeanor convictions,type of legal representation,date of alleged crime,married,annual income,education level,immigration status,number of children under 18 living at home,mitigating factors - health,"type of conviction (trial, jury, etc.)",plea: guilty? ,possible charge 1: offense category,possible charge 1: attempted crime,possible charge 1: primary? vs. accomplice,"possible sentence type 1: (jail, probation, etc.)",possible total minimum incarceration term 1,possible total maximum incarceration term 1,possible probation term in months 1,possible amount of fine in dollars 1,possible amount of community service in hours 1,possible alternative sentence 1,possible suspended sentence 1,possible charge 2: offense category,possible charge 2: attempted crime,possible charge 2: primary? vs. accomplice,"possible sentence type 2: (jail, probation, etc.)",possible total minimum incarceration term 2,possible total maximum incarceration term 2,possible probation term in months 2,possible amount of fine in dollars 2,possible amount of community service in hours 2,possible alternative sentence 2,possible suspended sentence 2
1,Julie,Tolomei,Polynesian,Male,8/25/1998,1,2,1,4/24/2020,true,288598,1,2,1,"Obs & eval of NB for suspected genetic, metab,immun cond R/O",2,true,13,4,false,6,57,70,87,92684,97,in faucibus orci luctus et ultrices posuere cubilia curae nulla,true,31,2,true,2,32,10,32,7940,40,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,false
2,Barbie,Brizell,Alaska Native,Female,11/12/1964,1,2,2,3/20/2019,true,315567,4,2,0,"Other reactive arthropathies, multiple sites",2,false,22,3,false,8,79,119,56,76475,68,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,true,30,3,true,1,17,60,63,87299,55,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,false
3,Clarke,Ivermee,Melanesian,Male,2/17/1987,2,3,3,12/20/2019,false,297498,5,3,1,Driver of pk-up/van injured in clsn w nonmtr vehicle nontraf,5,true,30,4,true,1,53,51,119,12579,97,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,false,18,1,true,5,68,44,33,24499,5,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,false
4,Chickie,Wormald,Cherokee,Female,8/19/1947,1,2,3,3/29/2019,true,261592,2,4,1,"Mech compl of int fix of bone of left forearm, init",5,true,27,2,false,2,84,94,50,96032,8,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,true,22,4,true,2,34,43,69,70060,68,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,false
5,Jolie,Struttman,Taiwanese,Female,11/1/1999,3,3,2,4/18/2020,false,201249,5,1,5,"Unspecified injury of unspecified eye and orbit, sequela",5,true,12,4,false,7,21,2,47,54252,14,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,true,8,3,true,6,55,103,59,25248,41,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,false
6,Harmon,Worley,Honduran,Male,6/5/1983,2,3,3,5/8/2019,true,373865,1,2,0,Insect bite (nonvenomous) of right middle finger,1,true,31,2,true,5,100,42,112,72760,15,morbi quis tortor id nulla ultrices aliquet maecenas leo odio,false,13,3,false,1,56,102,8,41955,60,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,false
7,Crin,Robers,American Indian and Alaska Native (AIAN),Female,11/7/1965,2,3,1,9/8/2018,true,498114,1,4,0,"Localized swelling, mass and lump, left lower limb",4,true,6,2,true,3,107,3,41,82300,53,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,true,8,2,false,4,95,49,14,94398,86,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,false
8,Junia,Bowerman,Delaware,Female,1/29/2000,1,3,1,9/6/2019,false,359061,4,3,6,"Corrosion of third degree of back of right hand, init encntr",2,true,7,3,false,4,61,91,47,91891,78,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,false,27,2,true,3,8,34,35,63778,34,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,false
9,Melantha,Lightfoot,Apache,Female,6/23/1969,2,1,2,10/27/2019,true,381031,5,3,7,Other specified diseases of pancreas,5,false,31,4,true,5,88,94,77,43648,90,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,true,12,3,false,2,82,44,13,5039,14,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,true
10,Vassili,Foynes,Chilean,Male,5/27/1992,1,2,3,9/3/2019,true,258689,2,2,3,Malig neoplasm of lower-outer quadrant of left female breast,1,true,28,1,true,5,40,89,42,81486,47,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,false,9,4,true,4,70,68,15,29879,74,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,true
